k,sse,silhouette
2,766.6868286132812,0.3600205183029175
3,681.9081420898438,0.12778404355049133
4,630.8370361328125,0.13376879692077637
5,593.4944458007812,0.12424025684595108
6,561.83837890625,0.12945298850536346
7,533.256591796875,0.14105723798274994
8,510.3974914550781,0.13393189013004303
9,489.087890625,0.13124001026153564
10,474.14599609375,0.12554320693016052
11,462.3151550292969,0.12321128696203232
12,452.5309753417969,0.12222332507371902
