n_samples,samples_per_class,representation,feature_dim,random_state,final_k,n_init,pca50_explained_variance,sse,silhouette,calinski_harabasz,davies_bouldin,kmeans_time_sec,kmeans_peak_memory_delta_mb,n_iter,min_cluster_size,max_cluster_size
2000,400,raw_pixel,3072,42,2,20,0.8520488739013672,257363.109375,0.20644456148147583,620.6198489319914,1.724827781026217,0.19166040001437068,5.3125,8,838,1162
2000,400,hsv_histogram,96,42,2,20,0.9741977453231812,511.05438232421875,0.344485342502594,304.88374830687366,1.2381892573950224,0.13499719998799264,1.30859375,15,131,1869
2000,400,hog,1764,42,2,20,0.377574622631073,17018.716796875,0.09140569716691971,193.44070803403187,3.0871085637545477,0.12801300000865012,0.10546875,12,738,1262
