n_samples,samples_per_class,representation,feature_dim,random_state,final_k,n_init,pca50_explained_variance,sse,silhouette,calinski_harabasz,davies_bouldin,kmeans_time_sec,kmeans_peak_memory_delta_mb,n_iter,min_cluster_size,max_cluster_size
3000,600,raw_pixel,3072,42,2,20,0.8510562777519226,389892.5,0.2110266536474228,948.9371680049552,1.7024770452084517,0.23486379999667406,19.46484375,10,1210,1790
3000,600,hsv_histogram,96,42,2,20,0.9718450903892517,766.6868286132812,0.3600205183029175,539.2956617846152,1.1898445089125451,0.17397850000998005,0.234375,4,215,2785
3000,600,hog,1764,42,2,20,0.36969971656799316,25057.63671875,0.09250359982252121,295.1471723574715,3.0661749452617437,0.16428530000848696,0.09375,13,1116,1884
