representation,feature_dim,pca50_explained_variance,final_k,silhouette,calinski_harabasz,davies_bouldin,kmeans_time_sec,kmeans_peak_memory_delta_mb
raw_pixel,3072,0.8510562777519226,2,0.2110266536474228,948.9371680049552,1.7024770452084517,0.1725709000020288,1.26171875
hsv_histogram,96,0.9718450903892517,2,0.3600205183029175,539.2956617846152,1.1898445089125451,0.1896431999921333,0.5
hog,1764,0.36969971656799316,2,0.09250359982252121,295.1471723574715,3.0661749452617437,0.16389720002189279,0.1171875
