n_samples,samples_per_class,representation,feature_dim,random_state,final_k,n_init,pca50_explained_variance,sse,silhouette,calinski_harabasz,davies_bouldin,kmeans_time_sec,kmeans_peak_memory_delta_mb,n_iter,min_cluster_size,max_cluster_size
1000,200,raw_pixel,3072,42,2,20,0.8564862608909607,131537.78125,0.19924257695674896,293.97975220829267,1.77183352503805,0.15913109999382868,8.5390625,13,419,581
1000,200,hsv_histogram,96,42,2,20,0.9763913154602051,260.27740478515625,0.31894707679748535,148.18868828365504,1.3242536832092848,0.10385700000915676,1.7109375,6,74,926
1000,200,hog,1764,42,2,20,0.40182119607925415,9106.388671875,0.08517841249704361,89.36771844200553,3.229497330178196,0.10690909999539144,0.05078125,12,378,622
