k,sse,silhouette
2,25057.63671875,0.09250359982252121
3,24313.33203125,0.04492604732513428
4,23708.181640625,0.04561920091509819
5,23320.83203125,0.04206056892871857
6,23003.333984375,0.035271041095256805
7,22755.548828125,0.034004054963588715
8,22514.685546875,0.03158915415406227
9,22323.2734375,0.03229738026857376
10,22146.431640625,0.028291473165154457
11,21968.107421875,0.029776303097605705
12,21834.40234375,0.029439572244882584
