k,sse,silhouette
2,389892.5,0.2110266536474228
3,356055.9375,0.12481638789176941
4,334116.8125,0.11875193566083908
5,322350.0,0.09075899422168732
6,311629.53125,0.08969283103942871
7,303694.96875,0.08767303824424744
8,296921.34375,0.0864790827035904
9,291472.8125,0.07728028297424316
10,286676.09375,0.07092341780662537
11,282406.9375,0.0706072524189949
12,278208.1875,0.0657786950469017
